Time,avg,max,min
2013-03-10 00:00:00 UTC,49.3197206254385,50.35,46.5315738
2013-03-11 00:00:00 UTC,49.85541506127,51.357,46.92
2013-03-12 00:00:00 UTC,46.654544558444,51.918,41.31
2013-03-13 00:00:00 UTC,48.5117542927566,50.085,44.9616
2013-03-14 00:00:00 UTC,48.0738555584285,50.8164,46.0231
2013-03-15 00:00:00 UTC,47.1140961528166,47.44989,46.4
2013-03-16 00:00:00 UTC,46.8770453138926,47.35,46.1
2013-03-17 00:00:00 UTC,47.4238582675227,47.73999,47.1
2013-03-18 00:00:00 UTC,48.1505351680125,52.82192229,47.18
2013-03-19 00:00:00 UTC,54.6953674233873,60.94574833,49.76035283
2013-03-20 00:00:00 UTC,61.1915544839324,65.98889022,57.70201
2013-03-21 00:00:00 UTC,68.3855567037231,74.56213022,63.70002
2013-03-22 00:00:00 UTC,71.6449588959837,73.7,65.0
2013-03-23 00:00:00 UTC,65.332713282402,70.36001,52.75
2013-03-24 00:00:00 UTC,68.010505071667,72.53,63.11706
2013-03-25 00:00:00 UTC,73.3772588307574,81.49,69.6034
2013-03-26 00:00:00 UTC,77.0506796265983,79.72243627,73.1
2013-03-27 00:00:00 UTC,85.2315008281239,89.6,78.15928514
2013-03-28 00:00:00 UTC,90.927761713895,95.01011025,75.51
2013-03-29 00:00:00 UTC,89.8757402557305,93.2,83.9
2013-03-30 00:00:00 UTC,91.4075810147086,94.49998,88.0
2013-03-31 00:00:00 UTC,92.8916023556277,93.74901,91.0
2013-04-01 00:00:00 UTC,98.0154233305205,105.9,92.49999
2013-04-02 00:00:00 UTC,107.291989078073,118.3867,99.0
2013-04-03 00:00:00 UTC,129.313467994331,146.88,101.51088
2013-04-04 00:00:00 UTC,132.407588831021,143.0,119.0
2013-04-05 00:00:00 UTC,138.204308408437,145.0,128.25
2013-04-06 00:00:00 UTC,142.357423556541,144.0,139.0
2013-04-07 00:00:00 UTC,152.093642857042,164.75,142.75
2013-04-08 00:00:00 UTC,181.196238019666,194.57,163.2
2013-04-09 00:00:00 UTC,210.161619852493,249.97,186.8
2013-04-10 00:00:00 UTC,220.166609694028,290.0,19.9
2013-04-11 00:00:00 UTC,138.040730504915,205.0,1.06
2013-04-12 00:00:00 UTC,89.6091853600295,157.0,51.0
2013-04-13 00:00:00 UTC,109.540867119305,130.0,81.12
2013-04-14 00:00:00 UTC,98.8562943124792,109.0,20.0
2013-04-15 00:00:00 UTC,93.3134557430569,104.0,71.497
2013-04-16 00:00:00 UTC,66.0701887940646,84.48,0.01
2013-04-17 00:00:00 UTC,83.0508999183888,98.9,63.5
2013-04-18 00:00:00 UTC,94.53981712794,114.0,87.0
2013-04-19 00:00:00 UTC,118.89658482633,142.0,104.56
2013-04-20 00:00:00 UTC,121.322973625489,132.0,114.9
2013-04-21 00:00:00 UTC,122.991233376896,130.0,110.0
2013-04-22 00:00:00 UTC,123.005175106107,127.3,119.615
2013-04-23 00:00:00 UTC,132.034485902445,144.47,124.859
2013-04-24 00:00:00 UTC,150.539485072331,166.99,140.9
2013-04-25 00:00:00 UTC,152.154245086111,169.13,120.03
2013-04-26 00:00:00 UTC,134.197181134872,143.985,13.0
2013-04-27 00:00:00 UTC,133.646769829164,147.51,121.46
